Age,Gender,Exercise Level,Diet Type,Sleep Hours,Work Hours per Week,Screen Time per Day (Hours),Social Interaction Score,Happiness Score,Stress Level
46,Other,Moderate,Vegan,6.4,47,3.3,5.9,9.4,Moderate
54,Female,Low,Keto,6.8,23,6.4,9.9,7.0,High
37,Female,Low,Balanced,4.4,32,7.7,4.1,8.1,Moderate
38,Female,Moderate,Junk Food,4.9,34,2.1,9.7,6.2,High
27,Male,High,Vegan,6.5,58,4.6,1.9,8.5,Low
22,Female,Low,Balanced,8.0,51,5.9,7.6,3.4,Low
53,Other,Moderate,Balanced,4.7,22,6.2,2.0,2.9,Low
23,Male,Moderate,Balanced,7.1,49,3.1,3.5,9.3,Moderate
43,Other,High,Balanced,3.9,39,7.8,6.1,7.2,High
21,Other,Low,Keto,7.0,21,5.7,6.3,7.0,Moderate
56,Male,Moderate,Junk Food,7.6,44,3.0,8.0,5.2,High
56,Other,High,Junk Food,7.3,30,2.1,6.5,4.4,Moderate
52,Other,Moderate,Vegan,8.0,20,6.7,6.3,6.0,Low
18,Male,Low,Vegetarian,7.9,29,2.5,9.2,2.1,High
41,Other,High,Keto,9.3,36,2.8,5.1,5.1,Moderate
53,Female,Moderate,Vegan,6.7,49,5.4,3.0,5.1,High
23,Other,High,Vegan,9.3,54,5.6,2.5,5.8,High
58,Female,Low,Balanced,5.1,38,6.1,4.6,6.7,Moderate
63,Other,High,Vegetarian,6.2,53,4.4,7.4,9.6,Moderate
61,Male,Low,Vegetarian,6.3,51,6.6,1.4,6.9,High
48,Male,Moderate,Keto,4.9,31,7.8,2.2,9.0,High
37,Other,Low,Vegetarian,3.0,36,3.6,2.0,6.0,Low
41,Male,Moderate,Vegan,7.8,25,6.2,6.3,6.6,High
42,Other,Moderate,Vegetarian,5.1,32,7.6,3.2,1.6,Low
53,Male,Low,Vegetarian,5.9,58,6.1,2.5,2.2,Low
38,Female,Moderate,Junk Food,8.9,41,6.1,6.3,6.2,Low
47,Other,High,Vegan,7.4,30,3.3,7.9,4.6,High
41,Female,Moderate,Vegetarian,9.1,26,5.2,4.0,8.2,Low
61,Female,Low,Vegetarian,6.7,40,5.4,6.2,5.9,High
59,Other,High,Balanced,7.3,20,6.2,1.9,8.9,High
47,Female,High,Vegetarian,6.1,49,8.0,9.4,9.8,Moderate
39,Other,Moderate,Vegetarian,5.2,38,2.2,4.0,2.3,High
45,Female,Moderate,Junk Food,7.3,48,2.4,10.0,4.6,High
24,Other,Low,Vegan,5.8,54,2.5,9.8,7.0,Low
52,Other,High,Keto,7.5,39,6.5,8.0,3.7,High
45,Male,Low,Vegan,5.6,55,2.8,1.2,3.4,High
31,Other,Moderate,Balanced,6.2,58,5.7,5.9,8.3,Moderate
27,Other,High,Vegan,6.4,20,3.9,1.8,9.8,Moderate
33,Female,Low,Vegetarian,8.1,42,4.7,9.1,8.0,Low
33,Other,Low,Balanced,5.9,50,3.3,8.1,5.7,Low
48,Male,Low,Vegan,8.3,54,7.2,9.8,5.0,Moderate
59,Female,Low,Balanced,5.1,41,5.5,6.5,5.9,Moderate
42,Female,Low,Keto,6.9,26,7.7,5.7,5.2,High
30,Male,High,Vegan,5.5,52,5.4,5.7,5.5,Low
23,Female,Low,Vegetarian,8.2,55,2.7,4.5,2.8,Low
61,Female,High,Balanced,5.3,26,3.0,5.2,9.1,High
26,Female,Low,Junk Food,5.4,46,7.9,6.7,7.8,High
62,Female,Moderate,Balanced,4.6,21,6.4,9.4,7.1,Low
53,Male,Moderate,Junk Food,6.7,36,2.3,6.4,9.5,Moderate
60,Male,Low,Vegetarian,7.4,20,6.2,8.7,3.6,Moderate
37,Female,Moderate,Keto,7.2,49,4.5,8.8,1.7,High
35,Female,High,Junk Food,6.3,41,3.8,5.7,8.4,Low
60,Male,Low,Keto,5.5,47,2.9,4.1,10.0,High
38,Male,High,Balanced,6.1,52,7.0,6.8,6.2,Moderate
21,Male,Low,Vegetarian,6.1,45,2.4,5.0,1.5,Moderate
50,Female,Moderate,Junk Food,6.9,54,3.7,1.7,8.0,High
44,Female,High,Balanced,6.8,30,3.8,4.4,1.7,Moderate
24,Other,Moderate,Vegan,9.1,26,3.0,9.9,5.9,Low
23,Male,Moderate,Balanced,6.6,47,5.0,1.4,3.5,High
32,Female,Low,Keto,7.0,44,2.1,7.3,9.2,High
35,Male,High,Vegetarian,6.6,50,3.8,8.6,5.1,High
49,Female,Moderate,Vegetarian,6.0,22,7.6,6.8,9.1,Moderate
28,Male,Low,Balanced,7.0,52,3.9,6.1,3.7,Low
37,Female,Low,Vegan,5.9,53,4.2,7.4,4.5,High
41,Other,Low,Keto,6.4,40,4.8,4.9,9.5,High
32,Other,Moderate,Balanced,8.2,56,5.4,1.8,2.8,Moderate
24,Male,Low,Balanced,5.8,38,6.9,9.7,6.2,Low
38,Female,High,Vegetarian,7.1,56,3.1,4.9,4.5,High
59,Female,High,Keto,2.8,40,7.2,7.0,8.0,Moderate
43,Male,Moderate,Vegan,6.2,33,6.5,5.8,2.2,High
61,Female,High,Vegetarian,5.8,29,6.3,1.5,4.9,Moderate
31,Male,Low,Balanced,6.7,26,2.5,9.6,7.3,Low
54,Female,Moderate,Vegetarian,6.1,48,2.1,8.1,4.7,Moderate
38,Male,Low,Vegetarian,6.7,59,5.6,2.3,1.5,High
35,Female,Moderate,Junk Food,5.9,27,7.2,9.8,7.3,High
22,Male,Moderate,Vegetarian,7.1,58,5.5,7.6,5.5,Moderate
20,Female,Low,Vegetarian,3.9,32,3.3,5.3,1.1,Low
40,Other,High,Keto,6.7,38,2.5,6.5,6.5,Low
43,Female,High,Vegetarian,5.1,30,6.2,2.0,9.3,High
54,Male,Moderate,Vegan,8.3,21,6.3,6.0,2.0,High
41,Other,Low,Balanced,5.1,25,3.0,1.7,6.3,Moderate
36,Female,Low,Keto,8.0,48,2.2,5.9,7.6,Moderate
42,Other,Moderate,Vegetarian,6.5,24,4.4,6.0,1.6,Moderate
38,Female,High,Vegan,3.8,49,5.5,8.9,1.2,Low
29,Other,Low,Balanced,5.2,58,6.2,7.5,5.2,Low
58,Male,High,Keto,7.8,55,6.9,3.2,8.1,High
50,Female,High,Vegan,7.7,46,5.7,9.0,2.4,High
21,Female,Moderate,Vegetarian,4.6,37,2.7,6.2,8.5,High
59,Male,Moderate,Junk Food,8.8,55,6.1,6.5,6.9,Moderate
24,Other,High,Junk Food,6.5,35,7.9,2.5,4.0,Low
39,Male,Low,Keto,7.8,24,7.4,8.7,5.6,High
50,Male,Low,Vegan,4.7,28,7.2,9.4,9.7,High
34,Other,Moderate,Balanced,5.8,53,3.8,8.0,2.9,High
41,Male,High,Vegan,7.1,53,6.5,9.5,5.5,High
51,Female,Low,Junk Food,6.0,55,7.1,3.7,6.6,High
45,Female,Low,Keto,2.1,50,6.1,8.8,2.2,High
60,Female,Moderate,Vegetarian,6.2,39,3.5,5.4,1.4,Low
58,Male,High,Vegan,3.6,36,7.7,2.5,1.1,High
56,Female,Low,Junk Food,4.9,39,4.7,7.0,3.9,Low
39,Female,Moderate,Balanced,4.4,47,2.8,7.2,1.7,Moderate
34,Female,Low,Keto,8.2,40,2.7,3.6,8.2,Low
51,Female,Low,Vegetarian,8.7,38,5.9,1.2,10.0,Moderate
23,Female,Low,Vegan,7.0,22,4.6,2.8,1.6,Low
63,Female,Moderate,Balanced,6.2,49,2.6,4.6,4.9,Low
23,Male,High,Vegetarian,6.5,24,6.4,2.5,1.2,High
51,Female,Moderate,Junk Food,8.2,25,6.8,2.7,2.2,Low
18,Female,High,Junk Food,3.5,22,6.4,4.5,3.9,Low
27,Other,Low,Balanced,4.9,43,3.2,9.7,4.5,High
38,Male,High,Junk Food,8.0,20,6.1,7.9,9.5,Moderate
22,Male,Low,Keto,8.3,55,2.1,3.9,4.6,High
19,Male,Low,Balanced,7.4,34,3.8,9.6,5.5,High
39,Male,Moderate,Junk Food,4.9,57,4.4,6.8,3.2,High
19,Female,Low,Vegan,8.0,37,7.0,5.1,1.0,Moderate
27,Female,Moderate,Junk Food,8.5,42,4.3,5.2,9.1,Low
51,Other,High,Keto,7.6,48,2.1,4.7,1.7,Low
33,Other,High,Vegetarian,2.8,41,4.1,3.1,9.7,High
56,Male,Low,Vegetarian,6.7,43,5.0,4.5,2.2,High
39,Other,Moderate,Junk Food,7.4,32,7.7,5.8,6.4,Low
29,Other,Low,Vegetarian,5.7,52,7.6,5.8,10.0,Low
41,Male,Moderate,Junk Food,6.8,41,3.1,7.9,2.2,Low
64,Male,Moderate,Keto,5.7,54,3.1,4.2,4.8,Moderate
57,Other,Moderate,Vegetarian,5.2,36,3.0,7.5,8.0,Moderate
55,Female,High,Vegan,8.8,41,6.7,6.2,1.3,High
27,Other,Moderate,Junk Food,6.8,24,2.0,9.7,7.2,Moderate
52,Other,High,Vegetarian,4.8,44,2.8,4.5,1.7,High
49,Female,Moderate,Keto,4.4,25,5.2,9.1,3.1,Low
24,Female,High,Keto,5.2,36,3.5,8.4,2.4,Low
38,Male,High,Vegan,5.2,50,2.6,6.7,9.2,High
37,Male,High,Keto,6.7,36,4.2,6.9,2.6,Low
43,Other,Low,Keto,7.2,52,3.6,1.8,1.4,High
21,Female,Moderate,Vegetarian,7.2,58,5.1,9.6,6.3,High
63,Male,Low,Junk Food,5.4,56,7.9,2.0,4.1,High
39,Other,Moderate,Balanced,7.9,23,2.7,6.1,4.7,Moderate
32,Female,Moderate,Keto,8.3,33,4.2,4.0,2.1,High
57,Other,Low,Keto,6.1,32,7.6,4.9,7.7,High
38,Male,High,Balanced,5.0,46,7.3,6.5,6.4,High
32,Male,Moderate,Keto,6.7,43,4.4,9.2,4.3,Moderate
39,Female,High,Vegetarian,9.7,46,6.2,5.1,2.5,Low
45,Other,Low,Vegetarian,4.9,27,2.5,9.9,6.3,Moderate
31,Female,High,Balanced,5.7,58,6.3,6.3,8.0,High
44,Male,Moderate,Keto,6.6,40,7.8,2.4,3.8,Moderate
58,Male,Moderate,Keto,7.3,30,5.2,2.7,1.2,Low
57,Other,Moderate,Junk Food,3.5,50,5.0,7.4,2.9,Low
45,Other,Low,Keto,8.5,46,3.1,1.5,7.1,High
43,Other,Moderate,Vegetarian,8.4,46,5.8,5.3,9.9,Low
19,Female,Low,Vegan,5.9,27,5.5,2.3,1.1,Moderate
42,Other,High,Vegan,10.6,52,5.9,4.9,3.8,Moderate
20,Other,Moderate,Vegan,8.3,31,2.2,7.7,1.6,Low
25,Male,Moderate,Vegan,8.3,54,5.3,5.1,3.8,High
61,Male,Moderate,Keto,8.3,53,5.6,2.5,4.7,High
50,Other,High,Keto,8.2,35,3.2,3.3,9.3,Moderate
59,Other,Moderate,Junk Food,6.5,55,3.2,4.3,1.7,Low
52,Male,Low,Keto,6.3,21,3.7,1.6,8.0,Moderate
23,Other,High,Vegan,5.1,31,6.3,6.3,4.6,Moderate
56,Female,High,Balanced,5.6,46,5.6,6.5,8.3,Moderate
40,Female,High,Balanced,6.0,36,7.1,1.6,5.6,High
42,Female,High,Vegetarian,6.6,39,3.8,4.6,1.4,Low
60,Other,High,Vegetarian,8.9,40,7.5,4.7,9.5,Low
36,Male,Low,Keto,3.3,49,6.5,4.0,1.7,High
22,Other,High,Balanced,8.5,39,4.4,6.0,6.4,Moderate
28,Other,Moderate,Vegan,5.0,27,2.6,4.1,8.9,Moderate
29,Male,High,Vegan,6.3,37,3.5,4.7,1.7,High
27,Male,High,Vegan,5.4,37,7.7,8.2,6.0,Low
25,Male,High,Keto,9.3,37,3.9,2.5,8.4,High
41,Female,High,Keto,5.8,21,4.0,6.6,9.9,Low
45,Other,High,Junk Food,7.3,31,3.1,5.6,7.5,Low
58,Male,Low,Vegan,7.4,51,6.8,3.7,3.5,Low
53,Other,Low,Vegan,4.8,27,3.7,7.5,7.3,Moderate
54,Female,High,Keto,6.4,29,4.0,6.0,7.4,Moderate
38,Female,Low,Keto,8.3,30,4.5,5.3,7.3,High
25,Male,Moderate,Junk Food,5.2,33,4.6,7.0,8.7,High
26,Male,High,Junk Food,7.7,45,4.5,8.2,1.8,Moderate
64,Other,Moderate,Vegetarian,6.0,49,5.0,9.8,2.0,High
32,Male,Moderate,Balanced,8.2,23,6.9,6.7,6.8,Moderate
63,Other,High,Vegan,9.1,58,6.9,8.9,9.6,Moderate
57,Male,Moderate,Vegan,3.5,30,6.8,1.0,5.2,Low
35,Other,Moderate,Junk Food,4.5,43,2.6,5.8,9.6,Low
59,Other,Moderate,Junk Food,5.8,41,6.8,2.9,9.4,Moderate
37,Other,High,Vegetarian,8.7,22,2.7,1.8,9.1,Low
23,Other,High,Balanced,7.3,56,2.7,5.8,9.2,Moderate
29,Female,Moderate,Vegetarian,4.6,21,7.7,7.7,9.1,Low
19,Other,High,Balanced,7.5,31,6.9,4.7,8.4,High
24,Male,High,Vegan,5.1,40,5.3,7.0,7.3,High
33,Female,Moderate,Vegetarian,7.8,24,7.2,5.4,1.2,Moderate
20,Female,High,Junk Food,7.3,26,7.9,4.9,2.2,Moderate
62,Other,Low,Vegetarian,5.1,23,5.7,3.6,2.2,Low
20,Female,High,Vegetarian,6.4,55,5.7,4.4,1.2,Low
44,Other,Low,Vegan,8.3,41,6.5,4.1,2.1,Moderate
60,Male,Moderate,Junk Food,3.7,48,3.4,6.8,9.3,High
57,Other,High,Junk Food,7.0,28,3.0,2.0,7.0,High
55,Female,Moderate,Keto,4.8,45,6.6,1.8,3.8,Moderate
50,Male,Moderate,Keto,6.5,31,4.1,6.9,8.1,High
45,Other,Moderate,Keto,7.2,20,2.8,5.9,5.4,Moderate
18,Male,Moderate,Vegan,9.5,27,3.9,4.9,2.3,Low
25,Male,Moderate,Vegetarian,6.5,52,4.2,2.4,9.0,High
54,Female,High,Junk Food,8.7,23,7.8,4.7,4.0,High
49,Male,Low,Junk Food,5.2,33,6.2,8.1,7.3,Low
60,Female,High,Vegetarian,5.8,48,5.2,9.0,3.6,Low
54,Male,High,Junk Food,7.4,33,7.8,7.3,5.5,High
21,Other,High,Vegetarian,6.8,28,7.4,1.5,8.3,High
47,Male,High,Vegan,6.0,28,5.1,7.0,2.4,Moderate
23,Other,Low,Vegan,6.0,45,7.4,3.2,9.8,Moderate
63,Other,High,Vegan,8.5,36,4.4,3.8,1.6,High
36,Male,Moderate,Vegetarian,6.1,23,3.4,2.8,5.8,Moderate
49,Other,High,Vegetarian,5.0,22,3.4,8.0,9.2,Low
26,Male,High,Balanced,5.2,48,6.0,6.8,9.5,Moderate
29,Male,Low,Junk Food,7.5,44,5.0,6.5,3.1,Moderate
28,Other,Low,Junk Food,9.9,40,6.0,7.0,2.3,High
63,Other,Moderate,Balanced,5.7,31,6.1,3.1,7.5,Moderate
33,Female,High,Balanced,9.7,20,2.1,5.0,1.4,High
18,Other,High,Vegan,6.5,20,2.3,6.7,5.4,High
62,Female,High,Balanced,6.1,26,5.2,6.7,8.2,High
38,Other,Moderate,Vegetarian,5.1,29,3.1,8.1,6.0,Low
47,Male,Low,Keto,6.2,34,5.8,3.6,2.7,Moderate
30,Other,Moderate,Vegetarian,5.4,59,5.3,7.9,5.4,Moderate
51,Male,High,Balanced,5.2,30,5.5,5.0,9.3,Moderate
21,Male,Low,Junk Food,4.0,42,3.8,7.0,6.6,High
45,Male,Low,Vegetarian,9.1,32,5.8,5.1,7.5,Low
55,Female,Moderate,Junk Food,8.1,46,7.0,9.5,4.0,High
48,Other,Low,Vegetarian,6.9,36,8.0,2.6,2.7,Moderate
44,Male,Low,Junk Food,6.3,32,7.0,7.1,3.3,High
22,Male,High,Vegetarian,6.5,31,5.3,6.2,5.8,High
42,Female,High,Junk Food,5.3,48,3.2,2.6,3.5,Moderate
20,Other,Low,Keto,4.8,40,6.1,1.6,5.9,High
50,Other,Low,Vegan,7.6,39,7.6,8.2,7.4,High
21,Female,Moderate,Vegetarian,6.1,39,3.3,2.4,7.6,Low
42,Female,Moderate,Keto,7.0,50,3.5,2.7,2.5,High
37,Other,Low,Vegan,4.0,27,2.9,9.8,7.8,Low
51,Female,High,Vegetarian,6.0,43,6.4,7.5,7.1,Moderate
43,Other,Low,Keto,4.8,30,4.4,3.3,1.1,Low
22,Other,Low,Keto,7.2,58,2.4,6.3,1.5,High
52,Male,High,Keto,8.0,52,7.2,5.8,6.8,Moderate
45,Male,High,Balanced,8.7,34,5.3,8.6,4.5,High
46,Other,Moderate,Junk Food,5.6,23,4.0,7.6,2.3,High
26,Other,Moderate,Vegan,4.8,20,4.1,8.5,1.4,Low
55,Other,Moderate,Junk Food,5.9,51,3.7,2.9,2.4,High
23,Other,Moderate,Junk Food,5.5,30,4.7,6.8,9.6,Low
36,Other,High,Junk Food,7.1,49,4.0,1.4,7.5,Moderate
61,Other,Low,Keto,4.4,56,5.3,1.6,5.7,Moderate
28,Female,Moderate,Junk Food,3.9,38,6.6,7.4,9.5,High
19,Other,Moderate,Balanced,6.0,55,6.0,1.2,6.6,Low
64,Female,High,Vegetarian,7.6,53,3.8,6.2,7.5,High
61,Female,High,Keto,5.0,26,5.2,8.6,3.5,High
61,Other,Low,Vegan,7.8,39,7.0,4.4,6.3,High
26,Other,Low,Vegetarian,7.0,31,2.4,1.4,2.3,High
38,Female,High,Vegetarian,8.8,51,2.5,7.4,4.6,Low
41,Female,Moderate,Vegetarian,5.3,21,5.3,9.4,1.3,High
51,Other,Moderate,Junk Food,4.1,41,5.8,7.5,2.9,Moderate
39,Other,Moderate,Junk Food,7.4,59,3.3,6.2,1.7,Low
20,Female,Low,Keto,6.9,43,6.5,3.1,4.5,High
29,Female,Moderate,Junk Food,6.8,50,5.9,1.1,8.6,Low
45,Female,Moderate,Junk Food,4.9,23,7.5,7.3,4.4,High
47,Male,High,Junk Food,7.7,43,3.0,3.1,8.5,Moderate
43,Female,Moderate,Keto,5.5,36,6.5,8.7,6.9,Moderate
38,Male,High,Keto,6.8,59,2.5,5.2,5.6,Moderate
45,Other,Moderate,Balanced,5.8,38,5.4,5.8,3.1,Low
43,Other,Low,Balanced,7.0,59,5.3,7.8,9.3,Moderate
50,Female,Moderate,Balanced,4.7,57,4.3,8.0,1.5,High
38,Other,Moderate,Balanced,7.2,53,7.1,6.8,7.2,High
52,Other,High,Vegetarian,7.5,52,2.0,9.4,6.6,High
51,Other,High,Vegetarian,6.7,25,5.1,9.8,5.0,Low
58,Other,High,Balanced,9.0,55,3.3,9.5,3.2,Low
64,Male,Moderate,Balanced,6.8,32,6.5,8.4,4.9,Moderate
35,Male,Moderate,Vegan,7.9,28,2.3,7.4,8.9,Low
28,Female,Low,Vegetarian,6.6,54,7.0,7.0,8.5,High
40,Female,Moderate,Vegan,7.7,53,7.0,1.9,9.5,High
39,Female,Low,Vegan,4.2,35,7.0,3.4,3.8,High
34,Other,High,Junk Food,6.5,37,2.9,1.1,4.5,Low
22,Other,High,Keto,4.8,37,5.8,2.2,1.2,High
61,Male,High,Vegetarian,6.7,57,2.1,5.0,9.5,Moderate
28,Male,Low,Balanced,7.1,51,7.1,2.3,4.0,Low
47,Female,Moderate,Balanced,7.7,26,6.3,9.1,4.6,High
32,Male,High,Keto,7.2,42,5.2,8.3,9.2,High
44,Male,Moderate,Vegetarian,6.0,42,6.4,1.6,5.7,Low
52,Male,Moderate,Balanced,5.4,37,2.6,3.2,6.1,Low
50,Male,High,Balanced,3.0,26,5.2,8.4,2.6,Moderate
37,Male,Low,Junk Food,6.6,59,3.7,8.2,5.5,Low
33,Female,Moderate,Vegan,8.2,43,7.8,9.5,9.3,High
51,Female,High,Balanced,6.7,33,7.1,10.0,6.0,Moderate
19,Male,Moderate,Vegetarian,6.4,24,6.4,9.8,3.3,High
52,Female,Moderate,Keto,6.7,41,7.6,4.7,1.3,High
57,Other,Moderate,Junk Food,5.9,41,4.1,3.3,4.0,High
45,Male,Moderate,Vegetarian,6.8,29,7.4,7.8,6.2,Low
64,Other,Moderate,Junk Food,5.9,45,4.0,3.7,1.4,Low
56,Female,Low,Vegan,5.2,34,6.4,8.3,6.5,High
23,Female,Low,Balanced,6.4,57,6.4,5.8,5.7,Low
26,Other,High,Vegetarian,6.4,20,2.1,8.1,8.1,High
37,Female,Low,Keto,9.3,33,4.2,3.5,1.3,Low
18,Male,Low,Vegan,5.3,55,2.1,5.6,8.0,Low
25,Other,Low,Vegan,6.3,50,8.0,6.1,5.7,Low
40,Male,Moderate,Junk Food,6.1,47,2.7,9.5,4.3,Moderate
20,Other,Moderate,Vegan,5.8,53,5.3,3.4,9.7,Low
21,Female,High,Vegetarian,7.3,54,6.7,9.4,2.4,Moderate
42,Other,High,Junk Food,9.9,58,3.2,8.2,5.9,Moderate
64,Other,High,Vegan,6.0,42,4.9,7.6,3.9,Moderate
55,Male,Moderate,Keto,7.3,38,5.6,8.1,5.7,High
32,Female,Low,Vegetarian,3.6,37,3.0,6.4,6.0,Low
38,Male,Low,Keto,5.9,34,6.7,3.2,1.8,High
52,Female,Moderate,Keto,8.8,20,3.8,2.7,7.0,Moderate
63,Male,High,Junk Food,6.4,44,3.3,8.8,6.7,Low
31,Other,High,Balanced,7.3,45,5.3,7.5,7.9,High
53,Male,High,Junk Food,5.6,54,4.5,2.9,1.8,Moderate
29,Female,Moderate,Vegetarian,6.9,34,7.5,6.5,3.7,High
34,Female,High,Vegetarian,8.9,23,7.3,5.0,6.9,High
56,Other,High,Junk Food,4.8,34,4.9,2.4,2.2,Low
26,Female,Moderate,Balanced,9.8,57,4.2,5.8,7.1,Low
52,Male,Low,Junk Food,4.2,58,4.0,3.5,1.5,High
30,Other,Moderate,Vegetarian,5.8,20,3.6,1.9,4.0,Low
32,Female,Moderate,Balanced,5.2,41,5.3,5.2,8.6,Low
35,Female,Moderate,Vegetarian,6.1,30,6.8,6.3,8.0,High
50,Male,Moderate,Balanced,5.2,57,3.9,1.4,6.8,Low
23,Male,Low,Balanced,5.1,56,3.1,4.6,8.8,Low
44,Other,High,Junk Food,4.7,45,4.9,3.3,7.4,Moderate
40,Female,Moderate,Junk Food,7.5,46,2.4,1.3,5.7,Low
44,Male,Low,Junk Food,6.1,32,6.2,2.1,9.8,Moderate
51,Other,High,Balanced,5.8,26,5.1,2.3,7.3,High
63,Female,High,Balanced,6.9,27,5.0,2.6,6.4,Moderate
55,Female,High,Vegetarian,4.3,42,3.8,8.2,4.7,High
31,Other,Moderate,Keto,7.0,45,7.4,5.0,9.1,Low
53,Other,Moderate,Junk Food,6.4,46,2.5,2.3,3.7,Low
25,Male,High,Vegetarian,6.4,28,7.2,1.9,1.1,Moderate
52,Female,High,Vegetarian,7.3,57,4.3,3.7,2.8,High
36,Female,High,Vegan,9.0,32,7.3,8.2,2.0,Low
47,Female,High,Junk Food,7.0,26,6.4,4.3,3.9,Moderate
31,Other,High,Vegetarian,6.2,30,2.6,2.4,8.4,Moderate
37,Male,High,Vegan,4.7,29,7.0,4.6,6.9,Moderate
42,Female,Low,Junk Food,2.9,52,6.1,6.0,2.5,Low
57,Other,High,Balanced,6.7,58,2.2,1.3,8.1,High
41,Female,Moderate,Vegan,4.6,22,2.8,6.6,5.5,Low
31,Male,Moderate,Balanced,2.7,48,5.8,4.6,5.6,Low
43,Female,Moderate,Keto,6.0,56,6.0,1.1,4.3,High
55,Male,High,Keto,6.9,35,6.5,7.1,8.8,Moderate
40,Male,Moderate,Keto,7.6,35,6.3,7.4,3.9,Low
39,Female,Low,Keto,8.1,26,6.0,6.7,1.8,Moderate
36,Female,High,Vegetarian,7.8,34,6.6,4.1,3.7,Moderate
63,Male,Moderate,Keto,7.9,57,5.5,5.8,7.4,High
20,Other,Low,Vegetarian,4.3,25,3.6,4.5,6.9,High
59,Male,Low,Vegetarian,6.3,37,7.5,7.3,2.7,High
36,Female,Moderate,Junk Food,7.4,38,2.1,6.3,2.0,Moderate
26,Female,Low,Vegetarian,6.6,21,4.2,1.7,6.9,Moderate
45,Other,Moderate,Vegetarian,6.3,22,6.4,6.8,7.1,Low
37,Male,Low,Keto,6.5,44,4.6,7.2,4.3,Moderate
62,Male,High,Vegetarian,6.9,55,2.1,4.3,8.6,High
24,Male,High,Balanced,6.4,47,2.4,8.9,9.8,High
31,Female,High,Keto,5.2,57,5.9,8.6,2.9,High
26,Male,High,Vegan,3.9,47,7.8,2.6,6.2,High
36,Other,High,Keto,6.2,51,5.3,9.1,1.0,Moderate
64,Female,Moderate,Vegetarian,6.6,55,5.0,5.0,7.4,High
31,Female,High,Balanced,6.6,58,3.9,7.5,4.7,Low
55,Male,High,Keto,7.9,55,3.5,8.3,2.7,Moderate
53,Other,High,Balanced,8.2,42,2.1,5.5,7.8,High
57,Female,High,Vegan,6.3,21,3.6,4.6,8.3,Low
34,Female,Low,Vegan,6.4,29,4.7,9.2,2.0,High
47,Male,High,Junk Food,7.4,25,3.2,3.1,1.4,Moderate
26,Male,High,Junk Food,7.1,27,2.5,3.3,4.0,Moderate
50,Other,Moderate,Keto,5.8,34,6.3,4.3,6.6,Low
42,Male,Low,Junk Food,7.5,48,7.4,8.7,8.1,Moderate
31,Other,Moderate,Balanced,6.3,47,7.6,9.4,5.9,Low
28,Female,High,Junk Food,6.3,41,5.7,3.0,6.2,High
52,Other,Moderate,Balanced,7.2,53,2.3,8.8,8.2,Moderate
58,Other,Moderate,Junk Food,6.0,39,6.4,3.3,5.8,High
31,Other,High,Junk Food,6.6,52,2.7,9.7,6.5,High
47,Female,Low,Junk Food,6.9,34,6.0,6.4,5.6,Moderate
58,Male,Low,Vegetarian,7.7,26,6.7,1.1,8.9,High
21,Female,Moderate,Vegetarian,7.6,43,6.4,1.3,3.1,Low
21,Male,High,Junk Food,6.9,45,7.7,2.3,3.4,Low
45,Other,Moderate,Balanced,2.6,29,6.4,2.7,2.2,Low
25,Other,Moderate,Keto,6.9,34,6.2,7.9,8.4,Moderate
19,Other,Moderate,Vegan,7.1,56,3.6,3.0,4.7,High
58,Other,High,Vegetarian,7.4,43,7.5,9.7,4.1,High
63,Other,High,Junk Food,5.1,30,3.1,6.7,9.8,High
39,Male,Low,Vegan,3.3,59,7.4,7.2,9.3,High
58,Male,High,Vegetarian,7.7,40,3.9,3.0,9.7,Low
33,Other,Moderate,Keto,4.7,59,2.8,9.0,2.3,Moderate
46,Female,Moderate,Balanced,8.3,57,7.0,7.0,9.0,Low
47,Female,Low,Junk Food,5.6,34,2.0,8.8,4.0,Low
29,Other,High,Keto,5.0,34,7.0,9.6,1.1,Moderate
52,Male,Moderate,Vegetarian,7.0,56,3.6,2.1,4.5,Moderate
28,Female,Low,Junk Food,7.4,33,7.3,1.9,5.6,Low
63,Female,Low,Vegan,7.3,40,6.1,8.2,2.0,High
38,Female,Moderate,Balanced,7.3,39,6.0,8.8,5.8,Moderate
38,Other,Moderate,Vegetarian,5.4,52,4.2,6.3,8.4,Moderate
22,Female,High,Balanced,4.2,22,2.4,4.3,4.4,Low
37,Female,Low,Junk Food,5.9,59,7.0,6.9,4.2,High
54,Female,Moderate,Keto,4.8,42,3.0,3.8,4.0,Moderate
20,Female,Low,Balanced,7.1,42,4.2,3.1,9.3,Low
61,Male,High,Vegan,7.8,46,5.6,5.4,1.4,Moderate
50,Other,Moderate,Vegetarian,6.8,54,4.9,2.9,5.0,High
26,Other,High,Vegan,6.5,44,3.2,5.4,3.4,Low
26,Male,Low,Balanced,6.0,51,2.8,9.6,9.0,Low
21,Male,High,Keto,8.0,41,2.7,8.6,1.9,High
52,Other,High,Keto,3.8,27,7.2,9.5,4.7,Low
34,Female,Low,Vegan,4.7,57,2.2,8.3,4.7,High
51,Female,High,Junk Food,9.2,37,7.9,4.2,9.0,Low
41,Other,Low,Junk Food,4.6,47,3.2,8.3,2.9,High
49,Female,Moderate,Keto,7.3,47,2.7,9.3,6.8,Moderate
18,Male,Low,Vegan,7.6,30,5.5,9.5,2.2,Moderate
